,MKT-TSM,LCV,500 Idx,LCG,MCB,SCV,SCB,SCG,D10,REIT,EAFED,EM,Total Intl,Pacific,Europe,Intl Value,COMM,LTT,ITT,ITB,TBILL,S-TIPS,Wellington,Wellesley,Windsor,STT,GOLD,VG Intl Small
,VTSMX,VIVAX,VFINX,VIGRX,VIMSX,VISVX,NAESX,VISGX,BRSIX,VGSIX,VTMGX,VEIEX,VGTSX,VPACX,VEURX,VTRIX,PCRIX,VUSTX,VFITX,VBMFX,VUSXX,VIPSX,VWELX,VWINX,VWNDX,VFISX,GLD,VFSVX
ER,0.16,0.22,0.16,0.22,0.20,0.20,0.20,0.20,0.78,0.26,0.09,0.33,0.19,0.26,0.26,0.46,0.00,0.20,0.20,0.16,0.09,0.20,0.26,0.23,0.39,0.20,0.40,0.31
1972,16.71325879,14.865917,18.80990415,22.94577695,7.530307124,10.76550731,8.565326602,6.400562492,-0.972415162,7.719928187,36.1774403,49.7059703,38.12256712,107.0117694,15.30021943,36.32291459,38.69,-2.949594792,3.023650337,5.53115016,3.706664002,-2.594810379,10.70217435,9.498154245,9.77188963,3.122725661,48.65909496,63.74082843
1973,-18.23083067,-9.839705336,-14.83626198,-23.36922384,-23.67755609,-24.58395557,-32.41808835,-40.02141411,-42.15122048,-15.71913026,-14.97652113,-14.08352437,-14.89669628,-21.15499701,-7.93935767,-14.97113279,68.4,-0.977074593,3.581003935,3.234824281,6.803876511,-3.992015968,-11.83,-3.49,-25,4.455444276,71.23812443,-13.95462068
1974,-27.31629393,-21.38181667,-26.61741214,-32.59700017,-26.40937619,-21.31465565,-27.60720686,-33.92999732,-29.45028776,-21.60383004,-23.26905785,-25.54569919,-23.66004591,-21.14502294,-23.00019948,-22.88473024,4.1,2.864031736,4.387224744,6.829073482,7.902887401,4.99001996,-17.73,-6.43,-16.8,6.625432916,72.01885968,-28.85017446
1975,38.4784345,40.56744372,36.98083067,32.67046835,48.43823069,53.02677366,54.64994206,56.19038121,71.06568764,18.99062438,35.27824958,43.72570517,36.46072462,26.39138241,43.52683024,38.35357356,5.11,6.283160611,6.716485548,8.126996805,5.704865621,16.16766467,25.18,17.46,54.5,8.15709971,-27.62112173,49.3968697
1976,26.49760383,33.22247896,23.70207668,14.80425657,36.67022347,55.36965418,45.52758051,36.2710069,54.49493947,47.21723519,2.40783295,6.947074654,3.024253918,21.32455615,-6.642728905,2.856858451,-5.55,13.6450721,11.37100841,11.5215655,5.005495054,-0.299401198,23.36,23.28,46.4,8.617342648,-4.48189417,11.11554182
1977,-4.353035144,-3.425890079,-7.947284345,-8.90388199,1.039884399,15.78557603,15.43149637,15.05276807,22.24647748,22.08258528,17.99380557,50.10465464,22.7417906,13.39517255,23.57869539,29.39478399,3.05,0.636287308,2.569567938,2.835463259,5.005495054,7.784431138,-4.38,4.27,1,3.716265855,22.150802,73.54201974
1978,7.32827476,6.022191512,5.9,6.743788914,8.612765301,18.38342099,17.27258035,16.18658866,27.4062314,10.01396369,32.48076731,53.0947872,35.49256413,48.38420108,23.97765809,42.01672307,26.37,-0.310213697,1.675748632,2.036741214,7.103606754,9.680638723,5.32,3.61,8.8,3.633694227,36.4653541,65.01844283
1979,22.80351438,20.23548194,18,23.62801836,32.23552894,35.12974052,42.81437126,50.499002,41.09942449,35.5475763,4.705764812,2.262533639,4.271883421,-3.730301217,14.40255336,5.504678479,34.26,-5.807819547,1.713690941,6.42971246,10.30072934,9.780439122,13.54,6.2,22.6,6.214144881,125.6460882,-1.086631443
1980,32.48801917,24.12692077,31.9,39.29355418,32.23552894,25.1497006,38.32335329,51.99600798,29.48997817,24.07739876,22.48975922,26.38293631,22.99630702,36.02633154,14.20307201,18.20625124,6.12,-2.542396862,2.401851595,6.42971246,11.19992007,15.16966068,22.58,11.88,22.6,6.883116847,14.72664031,35.04137175
1981,-3.853833866,1.077629216,-5.2,-11.49471163,2.195608782,14.67065868,1.796407186,-9.381237525,6.965667791,5.725114702,-1.089019882,4.255955347,-0.349336261,8.029124277,-10.63235587,8.490941668,-22.52,-3.284578774,4.358888203,10.62300319,14.59686282,5.788423154,2.9,8.67,16.8,10.17408651,-32.86709035,-0.209351012
1982,20.60702875,19.73657953,20.9,20.23548194,23.05389222,28.24351297,24.6506986,20.75848303,27.00932725,21.28465988,-0.989109801,-1.425296521,-1.117876036,-6.503091961,5.425892679,-2.647820028,3.84,48.29820619,35.16330203,25.19968051,10.40063942,-7.784431138,24.55,23.3,21.7,23.89460713,14.48545441,-0.269165587
1983,21.80511182,28.01835961,21.3,15.74536021,23.55289421,38.32335329,28.84231537,19.86027944,36.23734868,30.26132057,24.48796084,32.16385926,25.56143328,26.09216038,22.08258528,28.75771451,12.24,1.68442011,5.170513034,8.02715655,8.702168049,16.86626747,23.57,18.6,30.1,7.720868053,-16.63898139,35.69933207
1984,4.333067093,9.858311714,6.21,-1.217321892,1.19760479,2.095808383,-7.48502994,-15.96806387,-20.12304029,20.58647516,7.80297732,9.937207216,8.054696077,13.18571714,1.037303012,8.51085009,-3.51,13.76148647,13.15442055,14.11741214,9.701268858,15.56886228,10.7,16.64,19.47,12.36657067,-19.51649469,11.27504735
1985,31.98881789,31.21133506,31.23,32.60826182,31.73652695,30.73852295,30.83832335,30.73852295,24.7271284,18.79114303,56.55909681,60.37077644,57.03163988,39.02852583,79.3337323,54.3997611,13.03,30.40436757,21.57849544,17.8115016,7.37,8.682634731,28.53,27.41,28.03,14.24224583,5.258577341,66.9823547
1986,15.91453674,19.73657953,18.06,15.14667731,17.96407186,7.185628743,5.489021956,3.393213573,-0.476284977,18.8908837,69.7472275,62.16485598,68.49985028,93.31737483,44.12527429,64.61278121,-6.19,30.66801473,19.13933794,12.91932907,6,21.95608782,18.4,18.34,20.27,12.15953734,20.82431261,59.04695444
1987,1.537539936,0.279385352,4.71,5.068848533,0,-7.285429142,-8.982035928,-10.67864271,-15.55864259,-3.849990026,24.78769108,37.24708462,26.57949895,39.48733293,3.830041891,34.40175194,17.91,-3.123752495,0.204337892,0.978434505,6.12,8.183632735,2.28,-1.92,1.23,4.029886741,21.72047427,40.23527066
