Name,TSM,LCV,LCB (500),LCG,MCV,MCB,MCG,SCV,SCB,SCG,Micro Cap,REIT,Int'l Dev,EM,Total Int'l,Pacific,Europe,Int'l Value,Int'l Small,LTT,ITT,STT,TBM,STB,TBILL,IT Corp.,Wellington,Wellesley,Windsor,COMM,GOLD,Energy,Health,Precious Metals,Windsor II,ST Munis,IT Munis,LT Munis,ST Invest. Grade,Hi-Yield Corp. Bd,TIPS,Global Bd,Int'l Bd,Extended Mkt,Total World Mkt,Momentum Factor,Quality Factor,Min Vol Factor,Value Factor,Dividend Growth,High Dividends,LT STRIPS,Inflation
Symbol,VTSMX,VIVAX,VFINX,VIGRX,VMVIX,VIMSX,VMGIX,VISVX,NAESX,VISGX,BRSIX,VGSIX,VDVIX,VEIEX,VGTSX,VPACX,VEURX,EFV,VFSVX,VUSTX,VFITX,VFISX,VBMFX,VBISX,VUSXX,VCIT,VWELX,VWINX,VWNDX,GSG,IAU,VGENX,VGHCX,FSAGX,VWNFX,VWSTX,VWITX,VWLTX,VFSTX,VWEHX,VIPSX,BNDW,VTIBX,VEXMX,VTWSX,MTUM,QUAL,USMV,VLUE,VDAIX,VHDYX,EDV,CPI-U
1871,15.15409958,,15.15409958,,,,,,,,,,,,,,,,,4.622410633,2.125536375,3.441476767,2.509534209,3.49312004,6.254371066,,,,,,,,,,,,,,,,,,,,,,,,,,,5.732881772,1.527038419
1872,11.16124668,,11.16124668,,,,,,,,,,,,,,,,,2.517143965,2.882402378,5.655606362,3.515688807,5.708355042,7.713058248,,,,,,,,,,,,,,,,,,,,,,,,,,,0.547257088,2.255461977
1873,-2.484857794,,-2.484857794,,,,,,,,,,,,,,,,,6.708344745,7.745996299,9.305496815,8.053427706,9.360067707,8.252572685,,,,,,,,,,,,,,,,,,,,,,,,,,,6.686179072,-4.412051895
1874,4.360333302,,4.360333302,,,,,,,,,,,,,,,,,10.28514222,9.765986208,9.179574798,9.630150099,9.234082823,6.763912479,,,,,,,,,,,,,,,,,,,,,,,,,,,13.72837574,-6.922566088
1875,4.699236048,,4.699236048,,,,,,,,,,,,,,,,,11.07004047,5.791163275,4.350190017,5.581750527,4.402286966,4.865620941,,,,,,,,,,,,,,,,,,,,,,,,,,,18.13721316,-5.785600554
1876,-13.79781311,,-13.79781311,,,,,,,,,,,,,,,,,6.184035598,5.202710625,5.315455321,5.271126009,5.36803418,5.235288241,,,,,,,,,,,,,,,,,,,,,,,,,,,7.785540727,0.877373733
1877,-3.23406386,,-3.23406386,,,,,,,,,,,,,,,,,5.66663615,4.694144004,4.806888784,4.768672645,4.859213741,4.935557998,,,,,,,,,,,,,,,,,,,,,,,,,,,7.035683209,-15.6524529
1878,15.5305649,,15.5305649,,,,,,,,,,,,,,,,,5.699492706,5.603317253,5.525592294,5.615585933,5.578276065,4.805674893,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7389974,-10.30881779
1879,48.11665902,,48.11665902,,,,,,,,,,,,,,,,,6.666076491,3.084352418,2.737429314,3.111768559,2.788721091,4.156259367,,,,,,,,,,,,,,,,,,,,,,,,,,,9.957765892,20.68999339
1880,26.0466267,,26.0466267,,,,,,,,,,,,,,,,,8.162054973,5.187931233,5.008120921,5.202047864,5.060546344,5.005495054,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9224797,-5.714633708
1881,0.666820893,,0.666820893,,,,,,,,,,,,,,,,,4.576523657,2.583690691,3.384711626,2.828243993,3.43632656,4.695773804,,,,,,,,,,,,,,,,,,,,,,,,,,,5.941843381,8.080754613
1882,3.40253375,,3.40253375,,,,,,,,,,,,,,,,,3.277936717,2.764242919,4.193329898,3.126434706,4.245348535,5.165351184,,,,,,,,,,,,,,,,,,,,,,,,,,,3.362340628,-1.868748146
1883,-5.296096652,,-5.296096652,,,,,,,,,,,,,,,,,3.558989167,2.421992282,3.922936873,2.813185283,3.974820516,5.255270257,,,,,,,,,,,,,,,,,,,,,,,,,,,4.001321789,-7.619780871
1884,-12.28496321,,-12.28496321,,,,,,,,,,,,,,,,,4.788043204,5.964266265,6.894055521,6.158591137,6.947422498,5.5550005,,,,,,,,,,,,,,,,,,,,,,,,,,,5.069362922,-10.30881779
1885,28.12251527,,28.12251527,,,,,,,,,,,,,,,,,5.402516937,3.5539314,3.686098668,3.643315924,3.73786407,4.126286342,,,,,,,,,,,,,,,,,,,,,,,,,,,7.249575942,-3.448396461
1886,11.382526,,11.382526,,,,,,,,,,,,,,,,,1.111890541,-1.059327692,0.726815405,-0.534997285,0.777103381,4.166250375,,,,,,,,,,,,,,,,,,,,,,,,,,,0.818952305,0
1887,-0.497726122,,-0.497726122,,,,,,,,,,,,,,,,,1.270068714,4.197155801,6.483055397,4.678288046,6.536217182,6.014586872,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.837447589,4.762280365
1888,2.869165842,,2.869165842,,,,,,,,,,,,,,,,,6.553937695,4.502185722,4.830193499,4.618920491,4.882530091,4.92556699,,,,,,,,,,,,,,,,,,,,,,,,,,,8.922290826,-4.545796777
1889,6.72081986,,6.72081986,,,,,,,,,,,,,,,,,3.663108721,1.609067611,2.791593469,1.951769949,2.842912287,4.585872715,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5804423,-4.761876222
1890,-6.079444168,,-6.079444168,,,,,,,,,,,,,,,,,0.464691781,0.93404097,3.400300312,1.537046401,3.451923028,5.315216305,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.07826886,2.499984268
